web_scraper_order,web_scraper_start_url,pagination,comment,date,data6,data7
"1773397937-263","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Sản phẩm giao đến mình trong tình trạng không con seal, chất son và màu son cùng khác với mô tả. Liên hệ đổi trả thì người bán nói sản phẩm đã bóc seal nên không hỗ trợ đổi trả…","2026-02-07 15:12 | Phân loại hàng: Midnight Call","Phân loại hàng: Midnight Call","Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint 4.6g"
"1773397937-264","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Màu son ko đẹp, ko như mô tả, màu nhạt, lên màu ko chuẩn","2026-02-07 12:06 | Phân loại hàng: 06 - Tulip Fuzz","Phân loại hàng: 06 - Tulip Fuzz","Son Pha Lê 3CE Misty Lip Bare"
"1773397937-265","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","","2026-02-06 22:10","","Chai Xịt Cố Định Lớp Trang Điểm 3CE 3CE Shimmer Makeup Fixer"
"1773397937-266","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","","2026-02-06 22:10 | Phân loại hàng: 05 - Coral Drench","Phân loại hàng: 05 - Coral Drench","Son Pha Lê 3CE Misty Lip Bare"
"1773397937-267","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Không đáng bỏ ra 300k","2026-02-06 22:07 | Phân loại hàng: #02 Taupe","Phân loại hàng: #02 Taupe","Son Kem Lì Nhung Mịn 3CE Velvet Lip Tint Plush"
"1773397937-268","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","","2026-02-06 21:50 | Phân loại hàng: COZY WHISPER-Hồng hạ","Phân loại hàng: COZY WHISPER-Hồng hạ","Son len mịn lì nịnh môi 3CE Cashmere Hug Lipstick"
"1773397937-269","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Mua tặng mẹ mà mới mở ra đã gãy như này rồi đây","2026-02-06 20:54 | Phân loại hàng: 10-Already Booke","Phân loại hàng: 10-Already Booke","Son Sáp Màu Mịn Lì 3CE Sketch Stick"
"1773397937-270","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Khong quay laij mua","2026-02-06 20:23 | Phân loại hàng: Lazy Talk","Phân loại hàng: Lazy Talk","Phấn Má Hồng Bắt Sáng 3CE Blushlighter"
"1773397937-271","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","","2026-02-06 19:29","","(GWP) Gương Pha Lê 3CE"
"1773397937-272","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Eo, gương này bất tiện lắm, rút ra thì dễ chứ cất vào khó kinh.","2026-02-06 16:50","","(GWP) 3CE Mini Square Metal Mirror Gương Vuông Kim Loại Mini 3CE | 3CE Official Store"
"1773397937-273","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","","2026-02-06 13:11 | Phân loại hàng: Sepia-Đỏ táo trầm","Phân loại hàng: Sepia-Đỏ táo trầm","Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint 4.6g"
"1773397937-274","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","","2026-02-06 13:11 | Phân loại hàng: 05-High Standard","Phân loại hàng: 05-High Standard","Son Sáp Màu Mịn Lì 3CE Sketch Stick"
"1773397937-275","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","","2026-02-06 12:55","","(GWP) Túi Mini Đựng Son 3CE Lipstick Holder"
"1773397937-276","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","","2026-02-06 12:55 | Phân loại hàng: Trung Tính - N02","Phân loại hàng: Trung Tính - N02","Phấn Nước Trang Điểm 3CE Fitting Mesh Cushion"
"1773397937-277","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Thiếu quà tặng","2026-02-06 11:36","","(GWP) Gương Pha Lê 3CE"
"1773397937-278","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Thiếu quà tặng","2026-02-06 11:36 | Phân loại hàng: #03 Daffodil","Phân loại hàng: #03 Daffodil","Son Kem Lì Nhung Mịn 3CE Velvet Lip Tint Plush"
"1773397937-279","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Thiếu quà tặng","2026-02-06 11:36 | Phân loại hàng: Going Right-Cam đào","Phân loại hàng: Going Right-Cam đào","Son kem lì nhung mịn 3CE Velvet Lip Tint"
"1773397937-280","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Thiếu quà tặng","2026-02-06 11:36 | Phân loại hàng: SOFTEST-Hồng baby","Phân loại hàng: SOFTEST-Hồng baby","Son bóng dưỡng môi bắt sáng 3CE Shine Reflector (Son vặn 1 chiều)"
"1773397937-281","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Quá tệ. Không cho hoàn hàng cũng không gửi lại hàng cho người mua","2026-02-06 11:01 | Phân loại hàng: Play Off-Đỏ cam","Phân loại hàng: Play Off-Đỏ cam","Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint 4.6g"
"1773397937-282","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Dịch vụ chăm sóc khách hàng ko ok","2026-02-06 12:00 | Phân loại hàng: (Lõi Refill)-N02","Phân loại hàng: (Lõi Refill)-N02","Phấn Nước Trang Điểm 3CE Fitting Mesh Cushion"
"1773397937-283","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Đã mua 3 thỏi dòng này, không thỏi nào có seal ở thỏi son nhưng khi hoàn hàng shop lại không đồng ý với lý do không còn seal, k còn nguyên vẹn. Sản xuất ra mà k biết à, hay cố tình lươn lẹo, k bực vì k hoàn dc, bực vì bị vu khống đã bóc hàng trong khi vỏ giấy thì dán cả 2 đầu ai bóc được. Mall mà dơ 🙂","2026-02-06 07:47 | Phân loại hàng: 10 - Quiet Taupe","Phân loại hàng: 10 - Quiet Taupe","Son Pha Lê 3CE Misty Lip Bare"
"1773397937-284","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Đã mua 3 thỏi dòng này, không thỏi nào có seal ở thỏi son nhưng khi hoàn hàng shop lại không đồng ý với lý do không còn seal, k còn nguyên vẹn. Sản xuất ra mà k biết à, hay cố tình lươn lẹo, k bực vì k hoàn dc, bực vì bị vu khống đã bóc hàng trong khi vỏ giấy thì dán cả 2 đầu ai bóc được. Mall mà dơ 🙂","2026-02-06 07:47","","(GWP) Túi Mini Đựng Son 3CE Lipstick Holder"
"1773397937-285","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","7 vọng","2026-02-06 00:29 | Phân loại hàng: NECTAR-Nâu rượu","Phân loại hàng: NECTAR-Nâu rượu","Son bóng dưỡng môi bắt sáng 3CE Shine Reflector (Son vặn 1 chiều)"
"1773397937-286","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","","2026-02-05 23:30","","(GWP) Túi Mini Đựng Son 3CE Lipstick Holder"
"1773397937-287","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","","2026-02-05 17:30 | Phân loại hàng: SOFTEST-Hồng baby","Phân loại hàng: SOFTEST-Hồng baby","Son bóng dưỡng môi bắt sáng 3CE Shine Reflector (Son vặn 1 chiều)"
"1773397937-288","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","","2026-02-05 15:27 | Phân loại hàng: 11 - Rose Sigh","Phân loại hàng: 11 - Rose Sigh","Son Pha Lê 3CE Misty Lip Bare"
"1773397937-289","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","","2026-02-05 14:54 | Phân loại hàng: Double Wind-Hồng khô","Phân loại hàng: Double Wind-Hồng khô","Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint 4.6g"
"1773397937-290","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Hàng chính hãng, cầm nặng tay
Nhưng màu son nhận dc k liên quan tới màu hãng quảng cáo
Quá buồn vì màu k giống 1 tẹo nào","2026-02-05 13:18 | Phân loại hàng: TEXT ME-Hồng mận","Phân loại hàng: TEXT ME-Hồng mận","Son len mịn lì nịnh môi 3CE Cashmere Hug Lipstick"
"1773397937-291","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","","2026-02-05 12:54 | Phân loại hàng: Casual Affair-Hồng","Phân loại hàng: Casual Affair-Hồng","Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint 4.6g"
"1773397937-292","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Hào hứng bao nhiêu nhận về thất zọng bấy nhiêu, có phải hàng rẻ đâu mà shop ship cho mình hàng sài rồi, mở cái gương ra siêu thất vọng , cực bẩn chắc chắn đã qua sd","2026-02-05 12:40","","(GWP) Gương Pha Lê 3CE"
"1773397937-293","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Hào hứng bao nhiêu nhận về thất zọng bấy nhiêu, có phải hàng rẻ đâu mà shop ship cho mình hàng sài rồi, mở cái gương ra siêu thất vọng , cực bẩn chắc chắn đã qua sd","2026-02-05 12:40 | Phân loại hàng: Bake Beige-Nâu cam","Phân loại hàng: Bake Beige-Nâu cam","Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint 4.6g"
"1773397937-294","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Cùng mua 1 mã màu , màu cũ thì mịn, màu mới khác so với màu cũ , khô ráp","2026-02-05 12:39 | Phân loại hàng: Speak Up-Lê đỏ ngâm","Phân loại hàng: Speak Up-Lê đỏ ngâm","Son kem lì nhung mịn 3CE Velvet Lip Tint"
"1773397937-295","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Đóng hàng không có keo dính chắc chắn, vừa giao đến đã tự bung ra? Không đảm bảo được sản phẩm có bị đổi không","2026-02-05 12:35","","Chai Xịt Cố Định Lớp Trang Điểm 3CE 3CE Shimmer Makeup Fixer"
"1773397937-296","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","lúc mở ra là hàng đã như này rồi ấy ? sao shop unbox hàng còn ko thèm đóng lại xong đi ship cho khách là sao?? làm ăn bất lương vậy trời, mở ra thì bụi bẩn vướng trên lọ như kiểu đưa ra lâu ngày xong đến lúc gửi cho khách mới bỏ vào hộp ấy?","2026-02-05 09:47","","Chai Xịt Cố Định Lớp Trang Điểm 3CE 3CE Shimmer Makeup Fixer"
"1773397937-297","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","","2026-02-05 01:57","","(GWP) Son Kem Mịn Mờ Môi 3CE Blur Water Tint Mini #Laydown"
"1773397937-298","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","","2026-02-04 23:45","","(GWP) 3CE Mini Square Metal Mirror Gương Vuông Kim Loại Mini 3CE | 3CE Official Store"
"1773397937-299","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Son mới đánh thì mịn nhưng để 1 lúc thì bị khô môi, màu son không chuẩn, thử 3 môi đều ra ánh hồng trong khi trong ảnh mẫu là ánh cam.","2026-02-04 23:45 | Phân loại hàng: Speak Up-Lê đỏ ngâm","Phân loại hàng: Speak Up-Lê đỏ ngâm","Son kem lì nhung mịn 3CE Velvet Lip Tint"
"1773397937-300","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Màu hồng đỏ nha mấy má né ra nhé","2026-02-04 23:33 | Phân loại hàng: Daffodil-Đậu đỏ","Phân loại hàng: Daffodil-Đậu đỏ","Son kem lì nhung mịn 3CE Velvet Lip Tint"
"1773397937-301","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","","2026-02-04 22:11 | Phân loại hàng: Beige Crush","Phân loại hàng: Beige Crush","Phấn Má Hồng 3CE Bouncy Blur Balm"
"1773397937-302","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","","2026-02-04 14:30 | Phân loại hàng: 07 - Sun Pause","Phân loại hàng: 07 - Sun Pause","Son Pha Lê 3CE Misty Lip Bare"
"1773397937-303","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Sản phẩm không đúng như mô tả, đây ko phải đỏ cam mà là đỏ hồng,","2026-02-04 10:32 | Phân loại hàng: Play Off-Đỏ cam","Phân loại hàng: Play Off-Đỏ cam","Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint 4.6g"
"1773397937-304","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","","2026-02-04 08:39 | Phân loại hàng: MAUVE LIKE","Phân loại hàng: MAUVE LIKE","Phấn mắt 3 ô 3CE Color Grid Eyeshadow"
"1773397937-305","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Chất lượng hàng thì oke, nhưng mặt phấn bị ứt 1 đường, tuy ko ảnh hưởng j đến chất lương, nhưng vẫn ko ưng ý cho lắm","2026-02-04 07:47 | Phân loại hàng: Early Now","Phân loại hàng: Early Now","Phấn Má Hồng Bắt Sáng 3CE Blushlighter"
"1773397937-306","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Tệ,ko xứng đáng vs cách xử lý và cách đóng thúc 
Ngày 3 oy mà vẫn ko tháy gì","2026-02-03 19:33 | Phân loại hàng: WHIP RED-Đỏ mận","Phân loại hàng: WHIP RED-Đỏ mận","Son kem bùn mịn lì 3CE Hazy Lip Clay"
"1773397937-307","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","","2026-02-03 16:59","","(GWP) 3CE Mini Square Metal Mirror Gương Vuông Kim Loại Mini 3CE | 3CE Official Store"
"1773397937-308","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Huhu để tặng kèm quà nhưng không có, bảo là hết quà 😪","2026-02-03 16:59","","Chai Xịt Cố Định Lớp Trang Điểm 3CE 3CE Shimmer Makeup Fixer"
"1773397937-309","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Mắc cười thiệt, hãng lớn có tiếng mà đi tặng cái gương mini là tấm thiếc, ủa vậy tặng làm gì vậy, ít nhất cũng tặng cái gương xinh xinh, gì đâu hãng lớn mà tặng cái gương vậy cũng đi tặng","2026-02-03 14:56","","(GWP) 3CE Mini Square Metal Mirror Gương Vuông Kim Loại Mini 3CE | 3CE Official Store"
"1773397937-310","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","","2026-02-04 14:06 | Phân loại hàng: #37 Raspberry Coate","Phân loại hàng: #37 Raspberry Coate","Son bóng dưỡng môi 3CE Glazy Lip Glow"
"1773397937-311","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Cái bao bì oke chứ cái ruột bên trong rỗng toét, không  ổn chút nào","2026-02-03 11:31","","(GWP) 3CE Mini Square Metal Mirror Gương Vuông Kim Loại Mini 3CE | 3CE Official Store"
"1773397937-312","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Mình tốn tiền đặt hoả tốc trong ngày. K giao đúng hẹn cho mình. Mình trả hàng hoàn tiền, đớp hàng đớp tiền k thèm trả cho mình cái gì. Shop lớn mà làm việc kém tệ. Nhắn tin thì k check… hề ghê","2026-02-03 10:27 | Phân loại hàng: Sepia-Đỏ táo trầm","Phân loại hàng: Sepia-Đỏ táo trầm","Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint 4.6g"
"1773397937-313","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Son không ăn môi. Đánh xong trôi luôn","2026-02-03 08:53 | Phân loại hàng: 07 - Sun Pause","Phân loại hàng: 07 - Sun Pause","Son Pha Lê 3CE Misty Lip Bare"
"1773397937-314","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","","2026-02-02 20:52 | Phân loại hàng: SOFTEST-Hồng baby","Phân loại hàng: SOFTEST-Hồng baby","Son bóng dưỡng môi bắt sáng 3CE Shine Reflector (Son vặn 1 chiều)"
"1773397937-315","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Nhanh trôi. Bôi như k bôi. Tí là trôi hết màu. K nên mua. Phí tiền 
Trả hàng nhưng k dc chấp nhận. Kêu gửi hàng lại mà k thấy đâu. Vừa mất tiền mua xong cũng k có mà sài. Shop gian dối","2026-02-02 20:39 | Phân loại hàng: 11 - Rose Sigh","Phân loại hàng: 11 - Rose Sigh","Son Pha Lê 3CE Misty Lip Bare"
"1773397937-316","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Made in china fake mà fake lộ liễu??","2026-02-02 18:44 | Phân loại hàng: City Mauve-Hồng khói","Phân loại hàng: City Mauve-Hồng khói","Phấn Má Hồng Mịn Lì 3CE Face Blush"
"1773397937-317","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","vặn ra được k vặn lại đc. Như này nắp lại kiểu gì","2026-02-02 16:46 | Phân loại hàng: NECTAR-Nâu rượu","Phân loại hàng: NECTAR-Nâu rượu","Son bóng dưỡng môi bắt sáng 3CE Shine Reflector (Son vặn 1 chiều)"
"1773397937-318","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","gửi nnao nta hoàn lại như thế r mà bảo k cho hoàn","2026-02-02 13:39 | Phân loại hàng: Mono Pink-Hồng khô","Phân loại hàng: Mono Pink-Hồng khô","Phấn Má Hồng Mịn Lì 3CE Face Blush"
"1773397937-319","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Trải nghiệm không mấy vui vẻ
Mình thấy ghi màu đỏ cam, nhưng về mình đánh lên môi lại màu hồng cánh sen, nhắn shop thì shop bảo là màu đỏ cam nhưng thiên về Hồng ?????  ( Đỏ Cam lại thiên về Hồng) 
Trả hàng thì shopee lại nói do bạn đánh lên môi đổi màu???? Do bạn không hỏi shop trước???? 
Chung quy là k nhận trách nhiệm, đổ lỗi khách hàng . 
Các b thấy hợp thì mua, còn mình thấy tệ . Cả ng bán lẫn cskh shopee","2026-02-02 12:54 | Phân loại hàng: Play Off-Đỏ cam","Phân loại hàng: Play Off-Đỏ cam","Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint 4.6g"
"1773397937-320","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Cheo đầu dê bán thịt chó","2026-02-02 12:19 | Phân loại hàng: Play Off-Đỏ cam","Phân loại hàng: Play Off-Đỏ cam","Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint 4.6g"
"1773397937-321","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","son xấu , bề ngoài vỏ đẹp thôi nhưng ai mà môi thâm trên thì son cũng như không nhé t nói nó k lên màu gì luôn , son bóng mà 1 lát sau nó set lại môi hết bóng mà còn khô nữa 230ka cho 1 cây son không đáng đồng tiền . môi t xài rô mand nó mọng không có khô như son này luôn nhé","2026-02-02 11:10 | Phân loại hàng: 11 - Rose Sigh","Phân loại hàng: 11 - Rose Sigh","Son Pha Lê 3CE Misty Lip Bare"
"1773397937-322","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Chưa dùng lần nào nhưng đặt về phát hiện nhầm tone mà hoàn lại shopee không cho nên pass rẻ 490k cho bạn nào cần
zl: không 3 chín ba 9 không 0 không sáu sáu","2026-02-02 10:18 | Phân loại hàng: Auto Focus","Phân loại hàng: Auto Focus","Bảng Phấn Mắt 9 màu lâu trôi 3CE Multi Eye Color Palette"
"1773397937-323","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","","2026-02-02 05:55 | Phân loại hàng: 04 - Pink Scheme","Phân loại hàng: 04 - Pink Scheme","Son Pha Lê 3CE Misty Lip Bare"
"1773397937-324","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","","2026-02-01 22:57 | Phân loại hàng: 11 - Rose Sigh","Phân loại hàng: 11 - Rose Sigh","Son Pha Lê 3CE Misty Lip Bare"
"1773397937-325","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","","2026-02-01 22:57","","(GWP) Túi Mini Đựng Son 3CE Lipstick Holder"
"1773397937-326","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Mình không biết hàng thật hay giả nhưng hộp và bao bì kiểu như đã bị sử dụng nhiều lần ngay cả cái mác lần đầu mình mở thỏi đã thấy có dấu hiệu bị bốc ra từ trc mình k hài lòng về cách đóng gói sp này 😡","2026-02-01 20:23 | Phân loại hàng: #37 Raspberry Coate","Phân loại hàng: #37 Raspberry Coate","Son bóng dưỡng môi 3CE Glazy Lip Glow"
"1773397937-327","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Chéo liền tay nhận ngay quà bự đi bà con ơiiii https://shp.ee/d9c5w4t88te","2026-02-01 15:19 | Phân loại hàng: #22 Spiced Latte","Phân loại hàng: #22 Spiced Latte","Son Kem Lì Nhung Mịn 3CE Velvet Lip Tint Plush"
"1773397937-328","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Ê rất chán nha. Sp chán vchg phí tiền. Ko bao giờ mua laị.","2026-02-01 14:55 | Phân loại hàng: KNIT-Hồng khô","Phân loại hàng: KNIT-Hồng khô","Son len mịn lì nịnh môi 3CE Cashmere Hug Lipstick"
"1773397937-329","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","nhân viên kho shopee xử lí kém thiếu chuyên nghiệp làm việc như mất não","2026-02-01 12:23","","Chai Xịt Cố Định Lớp Trang Điểm 3CE 3CE Shimmer Makeup Fixer"
"1773397937-330","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","","2026-02-01 09:35 | Phân loại hàng: #21 Heated","Phân loại hàng: #21 Heated","Son Kem Lì Nhung Mịn 3CE Velvet Lip Tint Plush"
"1773397937-331","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","","2026-02-01 06:17 | Phân loại hàng: Play Off-Đỏ cam","Phân loại hàng: Play Off-Đỏ cam","Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint 4.6g"
"1773397937-332","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Son Ok chuẩn ok nhug hàng tag như đồ bỏ tróc keo nhận dc bỏ luôn","2026-02-01 00:49","","(GWP) Túi Mini Đựng Son 3CE Lipstick Holder"
"1773397937-333","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Hàng make in China! 
Vài tháng trước vẫn là hàng make in korea nhưng lần nay lai vay! moi nguoi can nhac khi mua
that vong vs shopee mall","2026-01-31 21:22 | Phân loại hàng: Sepia-Đỏ táo trầm","Phân loại hàng: Sepia-Đỏ táo trầm","Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint 4.6g"
"1773397937-334","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Hàng bị bóc ở hai đầu hộp giấy, k biét đã qua sdung chưa,liên hệ cskh mà tl máy móc???mk k quay lại video bóc hàng do chủ quan thôi k trả hàng","2026-01-31 20:34 | Phân loại hàng: Pink Guava-Hồng đào","Phân loại hàng: Pink Guava-Hồng đào","Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint 4.6g"
"1773397937-335","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Không xử lý hoàn hàng :)))","2026-01-31 16:16 | Phân loại hàng: #22 Spiced Latte","Phân loại hàng: #22 Spiced Latte","Son Kem Lì Nhung Mịn 3CE Velvet Lip Tint Plush"
"1773397937-336","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Chưa bao giờ mua 3ce mà thất vọng đến vậy. Màu son k đúng mô tả.
Trả hàng k hoàn tiền. Kêu hàng đã dùng k hoàn vậy mà k trả khách hàng. Bắt khách hàng liên hệ shopee. K sđt liên lạc bắt nhắn tin thì trả lời tự động có tác dụng gì. Dịch vụ quá chán. 
Nói chung mua hàng ổn đúng gu thì k sao chứ hàng có vấn đề 1 cái là k ai giải quyết luôn. Nhận đc tiền của khách là ỉm luôn.","2026-02-11 05:33 | Phân loại hàng: 09 - Driftwood","Phân loại hàng: 09 - Driftwood","Son Pha Lê 3CE Misty Lip Bare"
"1773397937-337","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Hàng giống hàng nhái, không có tem niêm phong, sản xuất thì ghi ở Trung Quốc. Trong khi mình mua chính hảng ở ngoài store có tem niêm phong sản xuất tại Hàn","2026-01-31 09:41 | Phân loại hàng: Sepia-Đỏ táo trầm","Phân loại hàng: Sepia-Đỏ táo trầm","Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint 4.6g"
"1773397937-338","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","","2026-01-31 01:02 | Phân loại hàng: #36 Double Grape","Phân loại hàng: #36 Double Grape","Son bóng dưỡng môi 3CE Glazy Lip Glow"
"1773397937-339","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","B","2026-01-31 01:01","","(GWP) Túi Mini Đựng Son 3CE Lipstick Holder"
"1773397937-340","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","","2026-01-31 01:01 | Phân loại hàng: Trung Tính - N03","Phân loại hàng: Trung Tính - N03","Phấn Nước Trang Điểm 3CE Fitting Mesh Cushion"
"1773397937-341","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Làm ăn chán","2026-01-30 21:44 | Phân loại hàng: Double Wind-Hồng khô","Phân loại hàng: Double Wind-Hồng khô","Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint 4.6g"
"1773397937-342","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Dịch vụ khách hàng cực kỳ tệ lừa dối khách hàng. Hàng chắc không chuẩn tại thái độ nhân viên kém và cheap. Mua hasaki hay shop khác đi","2026-01-30 17:06","","(GWP) Túi Mini Đựng Son 3CE Lipstick Holder"
"1773397937-343","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Tốt nhất nên mua hãng khác đắt và màu xấu nhạt. 
Dịch vụ khách hàng cực kém vì shopee tự xử lý. 
Đặt lộn màu shop nói shopee xử lý không đổi được. Trả hàng không cho
M đặt lộn màu nhưng mở ra thấy màu không xinh nhạt toẹt. Mình trả hàng vì không còn nhu cầu các shop khác đều nhanh chóng. Nv shopee làm ăn gian dối hỏi trước là mình có quay video không, mình nói không rồi mới nói hộp bị móp. Bất ngờ luôn. Mình yêu cầu lại video gói hàng mở hàng thì shopee không gửi chỉ gửi 2 tấm ảnh họ làm móp hộp. Tốt nhất né shop này ra mua shop như hasaki vs watson cho đỡ tức còn rẻ hơn. Nhân viên không biết trộn fake k tại thái độ rất chợ và cheap","2026-01-30 17:06 | Phân loại hàng: Flat Call-Nâu cam","Phân loại hàng: Flat Call-Nâu cam","Bảng phấn mắt 3CE 4 màu cỡ nhỏ nhiều màu  3CE Mini Multi Eye Color Palette Small Eye Shadow"
