web_scraper_order,web_scraper_start_url,pagination,comment,date,data6,data7
"1773397937-846","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Mua trâu vẽ bóng dù giao ko đúng màu như quảng cáo ko đổi. Mua ko dc trả ko dc đổi","2025-12-02 17:28 | Phân loại hàng: Speak Up-Lê đỏ ngâm","Phân loại hàng: Speak Up-Lê đỏ ngâm","Son kem lì nhung mịn 3CE Velvet Lip Tint"
"1773397937-847","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Đặt đỏ cam , giao đỏ đậm . Chán sop thật","2025-12-02 17:14 | Phân loại hàng: Play Off-Đỏ cam","Phân loại hàng: Play Off-Đỏ cam","Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint"
"1773397937-848","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","","2025-12-02 16:15 | Phân loại hàng: BUDDY-Hồng cá hồi","Phân loại hàng: BUDDY-Hồng cá hồi","Son len mịn lì nịnh môi 3CE Cashmere Hug Lipstick"
"1773397937-849","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Nói là quà tặng chứ mở ra lại k thấy dou","2025-12-02 14:48","","(GWP) Túi Mini Đựng Son 3CE Lipstick Holder"
"1773397937-850","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Tôi ko hài lòng về sản phẩm vì hỏng vòi mà đổi trả cũng ko dc","2025-12-02 12:50","","Chai Xịt Cố Định Lớp Trang Điểm 3CE 3CE Shimmer Makeup Fixer"
"1773397937-851","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Nghe review đã quá cái mua theo, tệ.
Đánh vô nhìn cái mặt hắn mốc, sần sùi, chán","2025-12-01 20:41 | Phân loại hàng: (Lõi Refill)-N1.5","Phân loại hàng: (Lõi Refill)-N1.5","Phấn Nước Trang Điểm 3CE Fitting Mesh Cover Cushion"
"1773397937-852","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Thất vọng! Màu quá sáng. Son nhận về nhưng phần son bị lệch so với khuôn thỏi son. Quá thất vọng về 3ce!","2025-12-01 15:19 | Phân loại hàng: 05-High Standard","Phân loại hàng: 05-High Standard","Son Sáp Màu Mịn Lì 3CE Sketch Stick"
"1773397937-853","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Để đỏ cam giao thoa ra đỏ đậm trả hàng ko cho ko thấy liên khách đổi màu. Làm ăn cực đoan lừa dối khách hàng. Bộ phận chăm sóc khách hàng tệ","2025-12-01 15:15 | Phân loại hàng: Play Off-Đỏ cam","Phân loại hàng: Play Off-Đỏ cam","Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint"
"1773397937-854","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","","2025-11-30 19:02","","(GWP) Túi Mini Đựng Son 3CE Lipstick Holder"
"1773397937-855","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Màu sắc không đúng như minh hoạ, yêu cầu hoàn hàng thì báo hàng trả về bị móp hộp không còn nguyên seal nên không đồng ý trong khi mình gửi hàng về nguyên vẹn. Nói chung mua hàng né shop này ra. Shop thì đổ cho shopee xử lý nên không biết :)))) hài thật","2025-11-30 19:02 | Phân loại hàng: 05-High Standard","Phân loại hàng: 05-High Standard","Son Sáp Màu Mịn Lì 3CE Sketch Stick"
"1773397937-856","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","","2025-11-30 18:35 | Phân loại hàng: Luztic-Đỏ xí muội","Phân loại hàng: Luztic-Đỏ xí muội","Son tint 3CE lên môi chuẩn sắc lâu trôi  3CE Lazy Pop Lip Stain"
"1773397937-857","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Màu khác xa với trên hình, màu đỏ cam mà như đỏ hồng, quá tệ","2025-11-30 15:45 | Phân loại hàng: Play Off-Đỏ cam","Phân loại hàng: Play Off-Đỏ cam","Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint"
"1773397937-858","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Eo oi nó tệ kinh khủng luôn ấy mn
Mình k nghĩ một cây son giá tầm 350-400k mà chất son nó tệ như vậy, mà hãng cũng nổi cũng lớn đấy, mà sao còn thua mấy cây vài chục mua ở chợ nữa í.

Mình có dưỡng môi, môi mềm mịn k tế bào chết trước khi son nhưng chất son vẫn bột k hề mịn, son lên kiểu nó trượt trên môi chứ k hề ăn vào môi.

Dòng này mình thấy sản xuất ở Trung Quốc
Mình có thấy một vài feedback về chất son tệ là tại đợt son này sản xuất ở Trung Quốc chứ k phải Hàn Quốc,
Mình nghĩ nhiều review tốt là dùng son lúc trước sản xuất ở Hàn Quốc ( cái này mình thấy ngkhac feedback chứ mình cũng k rõ )

Màu môi thì thiên hồng nhiều hơn chứ k thiên cam như hình. ( mình có che khuyết điểm môi )

Mua son thì phải dùng thử mới biết chất lượng thế nào, mà tệ thì lại k trả được, h cố đấm ăn sôi sài cũng chẳng xong.

Chưa tính phần quà tặng là túi đựng son làm rất sơ sài, k vừa với cây son, vừa to vừa rộng đúng kiểu làm đại để có tặng :)))","2025-11-30 10:55 | Phân loại hàng: BUDDY-Hồng cá hồi","Phân loại hàng: BUDDY-Hồng cá hồi","Son len mịn lì nịnh môi 3CE Cashmere Hug Lipstick"
"1773397937-859","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Màu ở ngoài xấu lắm , đánh lên nhìn phèn , chê á","2025-11-30 10:49 | Phân loại hàng: HUSH RED-Đỏ mâm xôi","Phân loại hàng: HUSH RED-Đỏ mâm xôi","Son len mịn lì nịnh môi 3CE Cashmere Hug Lipstick"
"1773397937-860","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Sản phẩm mỏng nên dễ gãy vô cùng, mới mở đã gãy. Quá tệ.","2025-11-29 18:49 | Phân loại hàng: 05-High Standard","Phân loại hàng: 05-High Standard","Son Sáp Màu Mịn Lì 3CE Sketch Stick"
"1773397937-861","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","màu kh đẹp ạ , lên môi rất tím cân nhắc trước khi mua","2025-12-07 16:35 | Phân loại hàng: Laydown-Hồng trầm","Phân loại hàng: Laydown-Hồng trầm","Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint"
"1773397937-862","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","son rất khô, bôi lên vừa nhớp vừa lộ vân môi vừa khô mặc dù là son dưỡng, rất tệ","2025-11-28 20:53 | Phân loại hàng: #34 Rose Glaze","Phân loại hàng: #34 Rose Glaze","Son bóng dưỡng môi 3CE Glazy Lip Glow"
"1773397937-863","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Sản phẩm còn nguyên vẹn nhưng lại nói là bị móp méo rồi hoàn ngược về cho khách. Làm ăn lươn lẹo xứng đáng 1 sao","2025-11-28 12:24 | Phân loại hàng: 001-Da sáng","Phân loại hàng: 001-Da sáng","Phấn Phủ 3CE Cho Lớp Trang Điểm Tự Nhiên Bền Màu 3CE Natural Finish Loose Powder"
"1773397937-864","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Dùng cực chán k thấy lì j cả . Cũng k thấy có làm nhung như các son khác. Đánh mấy son rồi lớp uống nước nhẹ cũng trôi hết","2025-11-27 21:30 | Phân loại hàng: Taupe-Gạch đỏ","Phân loại hàng: Taupe-Gạch đỏ","Son kem lì nhung mịn 3CE Velvet Lip Tint"
"1773397937-865","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Màu lệch tông, k hợp k cho đổi trả hàng, hiện shopeee k xư lý cũng chưa nhận đc hàng trả về, tiền cũng k hoàn","2025-11-27 19:48 | Phân loại hàng: Casual Affair-Hồng","Phân loại hàng: Casual Affair-Hồng","Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint"
"1773397937-866","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Son màu đỏ cam nhưng lên môi thì đậm màu đỏ hồng đậm 
Nhắn shop hỗ trợ thì báo sẽ phản hồi nhưng để đó không thấy phản hồi gì","2025-11-27 19:11 | Phân loại hàng: Play Off-Đỏ cam","Phân loại hàng: Play Off-Đỏ cam","Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint"
"1773397937-867","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","","2025-11-27 00:46","","(GWP) Túi Mini Đựng Son 3CE Lipstick Holder"
"1773397937-868","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","","2025-11-26 22:09 | Phân loại hàng: Sepia-Đỏ táo trầm","Phân loại hàng: Sepia-Đỏ táo trầm","Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint"
"1773397937-869","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Mua son màu Hồng nude chứ lên môi đỏ và cam nha","2025-11-26 21:23 | Phân loại hàng: 13-Silent Bloom","Phân loại hàng: 13-Silent Bloom","Son Sáp Màu Mịn Lì 3CE Sketch Stick"
"1773397937-870","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","","2025-11-26 20:46","","(GWP) Túi Đựng Mỹ Phẩm 3CE Square Leather Pouch"
"1773397937-871","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","","2025-11-26 20:46 | Phân loại hàng: Overtake-Đất thu ấm","Phân loại hàng: Overtake-Đất thu ấm","Bảng Phấn Mắt 9 màu lâu trôi 3CE Multi Eye Color Palette"
"1773397937-872","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Bảo tặng quà mà k tặng nt bảo ktra rồi cũng k phản hồi khách , dv tệ , k uy tín với khách , phấn tạm ổn","2025-11-25 21:04 | Phân loại hàng: What If","Phân loại hàng: What If","Phấn Má Hồng Bắt Sáng 3CE Blushlighter"
"1773397937-873","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Màu hồng cánh sen chứ đỏ gì, màu xấu chất thì tệ, ko nên mua nha mn, mua cả đống son 3ce về màu nào cũng khác trên ảnh, kinh tởm","2025-11-25 16:25 | Phân loại hàng: HUSH RED-Đỏ mâm xôi","Phân loại hàng: HUSH RED-Đỏ mâm xôi","Son len mịn lì nịnh môi 3CE Cashmere Hug Lipstick"
"1773397937-874","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","","2025-11-25 15:25 | Phân loại hàng: Sepia-Đỏ táo trầm","Phân loại hàng: Sepia-Đỏ táo trầm","Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint"
"1773397937-875","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Mua 06 giao ko 02 màu thi xấu lắm","2025-11-25 15:14 | Phân loại hàng: 02-Unfolding Ros","Phân loại hàng: 02-Unfolding Ros","Son Sáp Màu Mịn Lì 3CE Sketch Stick"
"1773397937-876","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Màu không hề giống hình, khiếu nại hoàn hàng bị từ chối, mà shop ko trả lại hàng cho mình. Vừa mất tiền, vừa mất hàng, nhắn tin shop ko phản hồi luôn🙄🙄🙄","2025-11-25 11:04 | Phân loại hàng: BUDDY-Hồng cá hồi","Phân loại hàng: BUDDY-Hồng cá hồi","Son len mịn lì nịnh môi 3CE Cashmere Hug Lipstick"
"1773397937-877","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Tui ra tiệm thấy thích lắm kìa, về mua onl ối dồi ôi lun. Sao mà nó khô rút cây ra nó khô gì đâu quẹt ko đc lun. Hay cây này bị lỗi ko biết nữa. Ko lẽ khui quẹt rồi trả hàng. 300k với nhiều kh như tui có phải nhỏ đâu mong shop lưu ý","2025-11-25 10:06 | Phân loại hàng: WHIP RED-Đỏ mận","Phân loại hàng: WHIP RED-Đỏ mận","Son kem bùn mịn lì 3CE Hazy Lip Clay"
"1773397937-878","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Vỏ son 3ce mà trong thì son mezzy.lại còn dùng son hết ròi bỏ vào cho khách hàng nữa.dối lừa khách hàng quá.xu là hôm đó em quay đc đoạn video này.còn quên k quay lúc khui hàng.vì nghĩ tin tưởng vào trang lớn nên k quay.","2025-11-25 07:57 | Phân loại hàng: Tan-Nâu đỏ đất","Phân loại hàng: Tan-Nâu đỏ đất","Son tint 3CE lên môi chuẩn sắc lâu trôi  3CE Lazy Pop Lip Stain"
"1773397937-879","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","SON KHÔNG HỢP VỚI NGƯỜI MÔI THÂM!!!!
Mấy bà phải tin tôi, môi thâm ít hay nhiều đều lộ kinh khủng, k hợp đâu. 
Gói hàng thì ẩu","2025-11-25 02:15 | Phân loại hàng: Early Hour-Hồng ngọt","Phân loại hàng: Early Hour-Hồng ngọt","Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint"
"1773397937-880","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Nó gãy trời ơi nó gãy.. màu đẹp mà mới đụng vô gãy rồi","2025-11-24 19:12 | Phân loại hàng: 10-Already Booke","Phân loại hàng: 10-Already Booke","Son Sáp Màu Mịn Lì 3CE Sketch Stick"
